variant,task,modality,metric,mean,std,count,mean_std
set_mil_mt_no_sab,acr_surv,Clinical,c_index,0.5538374103095254,0.07033836311258077,5,0.554 ± 0.070
set_mil_mt_no_sab,acr_surv,HE,c_index,0.7089031028660628,0.054297369122598534,5,0.709 ± 0.054
set_mil_mt_no_sab,clad_surv,BAL,c_index,0.5325840643274854,0.04477912005366655,4,0.533 ± 0.045
set_mil_mt_no_sab,clad_surv,CT,c_index,0.49066602098672396,0.08325160380084731,5,0.491 ± 0.083
set_mil_mt_no_sab,clad_surv,Clinical,c_index,0.6212270570137972,0.032509674694232694,5,0.621 ± 0.033
set_mil_mt_no_sab,clad_surv,HE,c_index,0.4910011094625958,0.12413698465051794,5,0.491 ± 0.124
set_mil_mt_no_sab,cls,BAL,bacc,0.4122013366750209,0.1243983099740057,5,0.412 ± 0.124
set_mil_mt_no_sab,cls,CT,bacc,0.552662897741483,0.1007791914370115,5,0.553 ± 0.101
set_mil_mt_no_sab,cls,Clinical,bacc,0.54631255882196,0.03038902453399509,5,0.546 ± 0.030
set_mil_mt_no_sab,cls,HE,bacc,0.7182463040027273,0.08677270768176827,5,0.718 ± 0.087
set_mil_mt_no_sab,death_surv,BAL,c_index,0.5345070694929721,0.2026912450098728,5,0.535 ± 0.203
set_mil_mt_no_sab,death_surv,CT,c_index,0.6716312610308607,0.03590576513133552,5,0.672 ± 0.036
set_mil_mt_no_sab,death_surv,Clinical,c_index,0.5448833474786905,0.05473975692070672,5,0.545 ± 0.055
set_mil_mt_no_sab,death_surv,HE,c_index,0.5728514341080625,0.1259022282645238,5,0.573 ± 0.126
set_mil_no_sab,acr_surv,BAL,c_index,0.39530873888016743,0.08824260749557981,5,0.395 ± 0.088
set_mil_no_sab,acr_surv,CT,c_index,0.5128410859709424,0.09118642119743327,5,0.513 ± 0.091
set_mil_no_sab,acr_surv,Clinical,c_index,0.5653698013282806,0.054205819967063036,5,0.565 ± 0.054
set_mil_no_sab,acr_surv,HE,c_index,0.6897762614469763,0.08468108925401904,5,0.690 ± 0.085
set_mil_no_sab,clad_surv,BAL,c_index,0.5812317251461988,0.0909963603293619,4,0.581 ± 0.091
set_mil_no_sab,clad_surv,CT,c_index,0.4237443173459825,0.07825890506843877,5,0.424 ± 0.078
set_mil_no_sab,clad_surv,Clinical,c_index,0.5694006130214053,0.052970155923967276,5,0.569 ± 0.053
set_mil_no_sab,clad_surv,HE,c_index,0.47418349909925706,0.130380101461189,5,0.474 ± 0.130
set_mil_no_sab,cls,BAL,bacc,0.42633249791144523,0.08258225440130947,5,0.426 ± 0.083
set_mil_no_sab,cls,CT,bacc,0.5044417318535965,0.07451803131596442,5,0.504 ± 0.075
set_mil_no_sab,cls,Clinical,bacc,0.5231467123322375,0.0741119113161064,5,0.523 ± 0.074
set_mil_no_sab,cls,HE,bacc,0.745841890698342,0.10101070488066467,5,0.746 ± 0.101
set_mil_no_sab,death_surv,BAL,c_index,0.596801785674327,0.11934258472977971,5,0.597 ± 0.119
set_mil_no_sab,death_surv,CT,c_index,0.6998414664730166,0.026201165416698573,5,0.700 ± 0.026
set_mil_no_sab,death_surv,Clinical,c_index,0.5041440930367875,0.07813011349373866,5,0.504 ± 0.078
set_mil_no_sab,death_surv,HE,c_index,0.6107638409353799,0.1390963330785041,5,0.611 ± 0.139
