outcome,feature,feat_label,log2fc,pval,qval,sig,mean_pos,mean_neg
CLAD,CT_4,CT counts,-1.8426576,0.15083642753576124,0.3573949612208401,,0.086239606,0.30931816
CLAD,CT_5,CT counts,0.55592346,0.31268116096109855,0.4820501231483602,,0.26588506,0.18086022
CLAD,CT_6,CT counts,1.2415907,0.9243681637808059,0.9567902854419643,,0.10323335,0.043657422
CLAD,CT_7,CT counts,,0.015561093471226277,0.14394011460884304,,-0.011068268,-0.001060301
CLAD,CT_8,CT counts,,0.38617035817441714,0.5102965447304798,,0.06549384,-0.030715195
CLAD,CT_9,CT counts,,0.12848988228169453,0.3573949612208401,,0.002375274,-0.035485774
CLAD,CT_10,CT counts,,0.03231872542708529,0.19929880680035927,,-0.08271249,0.20800523
CLAD,CT_11,CT counts,,1.3702282311905096e-06,5.0698444554048855e-05,***,-0.027554987,-0.031201862
CLAD,CT_12,CT counts,,0.1908191936562943,0.37159527185699415,,-0.11710248,-0.14354765
CLAD,CT_13,CT counts,,0.7473259230697369,0.8132664456935371,,-0.06908458,0.013084294
CLAD,CT_14,CT counts,,0.029255169833065944,0.19929880680035927,,-0.037115775,0.10457164
CLAD,CT_15,CT counts,,0.16362898320092756,0.3573949612208401,,-0.03468479,0.49682704
CLAD,CT_16,CT counts,,0.506061231528262,0.6241421855515231,,-0.040977173,-0.014426754
CLAD,CT_17,CT counts,,0.0752486283972673,0.31898072084810947,,-0.1404037,-0.0851327
CLAD,CT_18,CT counts,,0.402835769560711,0.5139628784050451,,-0.08699348,-0.07079923
CLAD,CT_19,CT counts,,0.3752252423467156,0.5102965447304798,,0.015018211,-0.08335412
CLAD,CT_20,CT counts,1.637252,0.27165601193546396,0.45687602007328026,,0.3350088,0.10769409
CLAD,CT_21,CT counts,,0.20813732722607403,0.38505405536823695,,0.009817622,-0.053424504
CLAD,CT_22,CT counts,,0.0014163168474198439,0.02620186167726711,*,0.12801673,-0.01682247
CLAD,CT_23,CT counts,,0.07758990507116177,0.31898072084810947,,0.040519044,-0.14102256
CLAD,CT_24,CT counts,,0.2286244831028218,0.4028145654668765,,-0.25692576,-0.3196559
CLAD,CT_25,CT counts,,0.3648469121542711,0.5102965447304798,,-0.06984424,0.06560768
CLAD,CT_26,CT counts,,0.16420849569606166,0.3573949612208401,,0.0028622649,-0.057390276
CLAD,CT_27,CT counts,,0.9573055835378348,0.9573055835378348,,0.10235576,-0.023082756
CLAD,CT_28,CT counts,,0.11893349063261871,0.3573949612208401,,-0.046995085,-0.029624939
CLAD,CT_29,CT counts,-0.11794615,0.002421628323813517,0.029866749327033378,*,0.024758184,0.026867317
CLAD,CT_30,CT counts,-0.38895988,0.6502525443797654,0.7518545044391037,,0.026144957,0.034235828
CLAD,CT_31,CT counts,0.9314952,0.9309310885381274,0.9567902854419643,,0.06018885,0.031557407
CLAD,CT_32,CT counts,0.39851618,0.1840110305599545,0.37159527185699415,,0.049734198,0.037730012
CLAD,CT_33,CT counts,0.4622705,0.2906711398093256,0.46760139882369767,,0.07636992,0.055432286
CLAD,CT_34,CT counts,-0.57687473,0.38237245996547664,0.5102965447304798,,0.08787858,0.13108146
CLAD,CT_35,CT counts,0.63013005,0.7395561002242298,0.8132664456935371,,0.09350784,0.060416717
CLAD,CT_36,CT counts,0.5754547,0.1404131398796576,0.3573949612208401,,0.123132914,0.08263087
CLAD,Rad_0,CT radiomics,,0.0026966177400336577,0.1442690490918007,,-0.36240435,0.23828402
CLAD,Rad_1,CT radiomics,2.3312063,0.0012334670263470552,0.13198097181913493,,0.3266459,0.06490952
CLAD,Rad_2,CT radiomics,,0.8885677619463257,0.9233385717378347,,0.29113287,-0.12692514
CLAD,Rad_3,CT radiomics,,0.1784361345348141,0.5411549020804255,,0.0029493982,-0.17353217
CLAD,Rad_4,CT radiomics,,0.1423283583374136,0.5411549020804255,,0.032499332,-0.04174326
CLAD,Rad_5,CT radiomics,,0.19020424761857235,0.5411549020804255,,0.015518585,-0.12293888
CLAD,Rad_6,CT radiomics,,0.08839264364229067,0.4817681565847966,,-0.13493365,-0.08120652
CLAD,Rad_7,CT radiomics,,0.08669756100581924,0.4817681565847966,,0.26376992,-0.16963737
CLAD,Rad_8,CT radiomics,,0.27266203031498426,0.5425011151597637,,0.24340264,-0.1697731
CLAD,Rad_9,CT radiomics,,0.5953966167535771,0.8273693245796462,,-0.34943625,-0.0052626347
