,BAL counts,HE counts,CT counts,CT radiomics
BAL counts,1.0,-0.07898710399884405,-0.07429990966576333,0.02755980861244019
HE counts,-0.07898710399884405,1.0,-0.04417827458090216,-0.038555002641378996
CT counts,-0.07429990966576333,-0.04417827458090216,1.0,-0.05165743505033653
CT radiomics,0.02755980861244019,-0.038555002641378996,-0.05165743505033653,1.0
