gene,cell_type,log2fc,pval,padj
PLEKHN1,TRAM-3,-0.14190250347608008,1.0,1.0
HES4,TRAM-3,2.329178083502757,0.20956101890085654,0.960451064784517
ISG15,TRAM-3,2.8327191301571077,0.11634615384615384,0.960451064784517
TTLL10,TRAM-3,6.1657843571314945,0.05770480731845711,0.960451064784517
TNFRSF18,TRAM-3,2.9971346663056107,0.363796150961466,0.960451064784517
TNFRSF4,TRAM-3,1.303490846630686,0.6985854960606577,0.960451064784517
MMP23B,TRAM-3,0.7592757558912946,0.9527115277145126,0.982900476162627
PRKCZ,TRAM-3,2.553614057694005,0.18329129653282328,0.960451064784517
PLCH2,TRAM-3,1.182591413278473,0.645909928361869,0.960451064784517
MEGF6,TRAM-3,-0.11437202295935062,0.5681128798721335,0.960451064784517
RNF207,TRAM-3,3.5982593233346143,0.19555920991005415,0.960451064784517
TNFRSF25,TRAM-3,2.908416449839479,0.344938324608403,0.960451064784517
UTS2,TRAM-3,1.1923667534424702,0.09437000209273563,0.960451064784517
TNFRSF9,TRAM-3,0.0611402948139042,0.9194326202051787,0.9730863032642807
PIK3CD,TRAM-3,1.3550100880718632,0.4140746048778673,0.960451064784517
FBXO2,TRAM-3,2.0057136511943936,0.4125586272526063,0.960451064784517
DRAXIN,TRAM-3,1.9023033261128668,0.2506822088586742,0.960451064784517
AL021155.5,TRAM-3,1.4919023426317015,0.6066446988221477,0.960451064784517
TNFRSF1B,TRAM-3,1.6635369606787955,0.24661443492615542,0.960451064784517
AGMAT,TRAM-3,3.305808429524085,0.16800648776185045,0.960451064784517
BX284668.6,TRAM-3,0.1934155426020367,0.7719840606213256,0.960451064784517
IFFO2,TRAM-3,1.6692851695972941,0.20987013247789488,0.960451064784517
NBL1,TRAM-3,2.0616390657923858,0.47451427270142965,0.960451064784517
CAMK2N1,TRAM-3,1.182591413278473,0.645909928361869,0.960451064784517
ECE1,TRAM-3,2.58642969808232,0.16547711061983417,0.960451064784517
C1QC,TRAM-3,1.898109638366485,0.3115384615384616,0.960451064784517
C1QB,TRAM-3,1.521429891302227,0.46538461538461534,0.960451064784517
ID3,TRAM-3,2.218106412099665,0.3327071281219769,0.960451064784517
MDS2,TRAM-3,0.39775950784700825,0.9290127047257105,0.9730863032642807
CNR2,TRAM-3,-0.9697853869529919,0.2842655939486728,0.960451064784517
RUNX3,TRAM-3,2.135038157592381,0.14883509253631885,0.960451064784517
RSRP1,TRAM-3,2.068642102654265,0.16250000000000003,0.960451064784517
STMN1,TRAM-3,2.560241410007217,0.16557420327120154,0.960451064784517
CRYBG2,TRAM-3,0.9942636304508559,0.7284248028980927,0.960451064784517
ZNF683,TRAM-3,3.707468696921709,0.3987972833057708,0.960451064784517
HMGN2,TRAM-3,2.2312517318180407,0.17500000000000004,0.960451064784517
SYTL1,TRAM-3,3.3199078722266773,0.055044469458369334,0.960451064784517
BX293535.1,TRAM-3,0.8428990389152711,0.7111380838024175,0.960451064784517
SNHG12,TRAM-3,1.3157629486516884,0.4473918487003359,0.960451064784517
EPB41,TRAM-3,1.9061005808561542,0.18365070081627322,0.960451064784517
MATN1-AS1,TRAM-3,1.964134547442994,0.1817007897195544,0.960451064784517
FABP3,TRAM-3,1.3215761335867404,0.718189826556505,0.960451064784517
FAM167B,TRAM-3,-2.176380023579612,0.168151523386752,0.960451064784517
LCK,TRAM-3,4.27892876502747,0.27337561638185326,0.960451064784517
MARCKSL1,TRAM-3,2.011221528999965,0.23794626902230254,0.960451064784517
AZIN2,TRAM-3,2.811166536007623,0.22432182862965266,0.960451064784517
POU3F1,TRAM-3,1.4573483041368083,0.5901299862214262,0.960451064784517
MACF1,TRAM-3,1.8148646545971918,0.18999645787671904,0.960451064784517
HPCAL4,TRAM-3,0.7092206036833019,0.7494383054591964,0.960451064784517
RIMS3,TRAM-3,0.28593337687696585,0.8609774688686853,0.9687697372719599
SLC2A1,TRAM-3,-0.6039552160642037,0.9085599821791795,0.9730863032642807
SLC2A1-AS1,TRAM-3,1.615177113768164,0.4931639466474509,0.960451064784517
FAM183A,TRAM-3,1.823619976420388,0.47303402119859905,0.960451064784517
CDC20,TRAM-3,1.2473247580385827,0.7286352346841622,0.960451064784517
ZSWIM5,TRAM-3,0.9749759763175238,0.6144035863817155,0.960451064784517
TSPAN1,TRAM-3,-0.8275328039952341,0.2976523499177116,0.960451064784517
CYP4B1,TRAM-3,2.0057136511943936,0.4534723726893646,0.960451064784517
BEND5,TRAM-3,1.182591413278473,0.711364195025991,0.960451064784517
AC104170.1,TRAM-3,2.486244449771264,0.34400601117853213,0.960451064784517
SHISAL2A,TRAM-3,3.93842712122099,0.05991217357470778,0.960451064784517
LINC01771,TRAM-3,0.4684247120258686,1.0,1.0
TTC22,TRAM-3,1.4573483041368083,0.5901299862214262,0.960451064784517
TACSTD2,TRAM-3,3.0255350921071376,0.330780676897792,0.960451064784517
JUN,TRAM-3,2.114302458034958,0.12692307692307692,0.960451064784517
LINC01358,TRAM-3,1.4495089710956444,0.34763692994730033,0.960451064784517
HOOK1,TRAM-3,2.8460873165463183,0.34541079893629745,0.960451064784517
AC099791.2,TRAM-3,3.080711799259259,0.43466620282808566,0.960451064784517
PATJ,TRAM-3,3.073310816676551,0.6557899457205726,0.960451064784517
PDE4B,TRAM-3,2.192399980911643,0.2465782937187746,0.960451064784517
IL23R,TRAM-3,1.9475325801058643,0.49550924418765807,0.960451064784517
IL12RB2,TRAM-3,1.078002512001273,0.7113500786141914,0.960451064784517
ERICH3,TRAM-3,-0.9697853869529919,0.24334199958729463,0.960451064784517
IFI44L,TRAM-3,3.2685853552493604,0.10642787268037988,0.960451064784517
LINC01781,TRAM-3,0.39775950784700825,0.8489359988805478,0.960451064784517
AL359504.2,TRAM-3,2.4138660050683995,0.19989970396615386,0.960451064784517
MCOLN2,TRAM-3,1.6531074139493114,0.5059232199830943,0.960451064784517
