split,variant,task,modality,metric,value,n,auc
0,set_mil_mt_no_sab,cls,HE,bacc,0.6985981308411215,121,0.855807743658211
0,set_mil_mt_no_sab,cls,BAL,bacc,0.4107142857142857,25,0.22619047619047622
0,set_mil_mt_no_sab,cls,CT,bacc,0.4859022556390977,97,0.4946741854636591
0,set_mil_mt_no_sab,cls,Clinical,bacc,0.5601123595505618,297,0.5608614232209738
0,set_mil_mt_no_sab,death_surv,HE,c_index,0.5218956208758249,117,
0,set_mil_mt_no_sab,death_surv,BAL,c_index,0.6847826086956522,32,
0,set_mil_mt_no_sab,death_surv,CT,c_index,0.6272734389270151,375,
0,set_mil_mt_no_sab,death_surv,Clinical,c_index,0.4698124451135366,683,
0,set_mil_no_sab,acr_surv,HE,c_index,0.6938527084601339,220,
0,set_mil_no_sab,acr_surv,BAL,c_index,0.4489795918367347,48,
0,set_mil_no_sab,acr_surv,CT,c_index,0.5167816520604139,437,
0,set_mil_no_sab,acr_surv,Clinical,c_index,0.5638217185687516,897,
0,set_mil_no_sab,clad_surv,HE,c_index,0.590531561461794,115,
0,set_mil_no_sab,clad_surv,BAL,c_index,0.6263157894736842,28,
0,set_mil_no_sab,clad_surv,CT,c_index,0.41355225627148395,332,
0,set_mil_no_sab,clad_surv,Clinical,c_index,0.606453207187489,642,
0,set_mil_no_sab,cls,HE,bacc,0.7793724966622163,121,0.8454606141522031
0,set_mil_no_sab,cls,BAL,bacc,0.40476190476190477,25,0.34523809523809523
0,set_mil_no_sab,cls,CT,bacc,0.4777568922305765,97,0.4577067669172933
0,set_mil_no_sab,cls,Clinical,bacc,0.5915730337078652,297,0.5681023720349563
0,set_mil_no_sab,death_surv,HE,c_index,0.562387522495501,117,
0,set_mil_no_sab,death_surv,BAL,c_index,0.6413043478260869,32,
0,set_mil_no_sab,death_surv,CT,c_index,0.6563551913994207,375,
0,set_mil_no_sab,death_surv,Clinical,c_index,0.4967303349642454,683,
1,early,acr_surv,HE,c_index,0.46166207529843895,247,
1,early,acr_surv,BAL,c_index,0.59375,44,
1,early,acr_surv,CT,c_index,0.5797662630245002,367,
1,early,acr_surv,Clinical,c_index,0.7196487593113314,858,
1,early,clad_surv,HE,c_index,0.40403005464480873,128,
1,early,clad_surv,BAL,c_index,0.8125,26,
1,early,clad_surv,CT,c_index,0.5538241786780937,268,
1,early,clad_surv,Clinical,c_index,0.642804023640847,564,
1,early,cls,HE,bacc,0.5181498829039812,136,0.4159836065573771
1,early,cls,BAL,bacc,0.5952380952380952,24,0.23809523809523808
1,early,cls,CT,bacc,0.6567550096961862,108,0.6916612798965739
1,early,cls,Clinical,bacc,0.6215149651496515,307,0.70290077900779
1,early,death_surv,HE,c_index,0.445771144278607,132,
1,early,death_surv,BAL,c_index,0.6571428571428571,27,
1,early,death_surv,CT,c_index,0.6562709795544706,308,
1,early,death_surv,Clinical,c_index,0.5853922612708555,603,
1,late,acr_surv,HE,c_index,0.6205234159779615,247,
1,late,acr_surv,BAL,c_index,0.578125,44,
1,late,acr_surv,CT,c_index,0.7419740918051253,367,
1,late,acr_surv,Clinical,c_index,0.6953036357357801,858,
1,late,clad_surv,HE,c_index,0.42896174863387976,128,
1,late,clad_surv,BAL,c_index,0.8125,26,
1,late,clad_surv,CT,c_index,0.53382677574341,268,
1,late,clad_surv,Clinical,c_index,0.6060902579357313,564,
1,late,cls,HE,bacc,0.5497658079625293,136,0.5737704918032787
1,late,cls,BAL,bacc,0.5,24,0.23809523809523808
1,late,cls,CT,bacc,0.6515837104072397,108,0.7259211376858435
1,late,cls,Clinical,bacc,0.496309963099631,307,0.6371463714637147
1,late,death_surv,HE,c_index,0.41393034825870645,132,
1,late,death_surv,BAL,c_index,0.6571428571428571,27,
1,late,death_surv,CT,c_index,0.6615196826365578,308,
1,late,death_surv,Clinical,c_index,0.5605076322328718,603,
1,longitudinal_mk_no_alibi,acr_surv,HE,bacc,0.5265497967479675,278,0.547827743902439
1,longitudinal_mk_no_alibi,acr_surv,BAL,bacc,0.503448275862069,97,0.554022988505747
1,longitudinal_mk_no_alibi,acr_surv,CT,bacc,0.5684169278996866,249,0.5699843260188088
1,longitudinal_mk_no_alibi,acr_surv,Clinical,bacc,0.5121996996996997,332,0.7459177927927927
1,longitudinal_mk_no_alibi,death_surv,HE,c_index,0.5006719397941944,517,
1,longitudinal_mk_no_alibi,death_surv,BAL,c_index,0.3687060097455333,176,
1,longitudinal_mk_no_alibi,death_surv,CT,c_index,0.6538704753597907,589,
1,longitudinal_mk_no_alibi,death_surv,Clinical,c_index,0.49598283396366916,699,
1,middle,acr_surv,HE,c_index,0.47520661157024796,247,
1,middle,acr_surv,BAL,c_index,0.609375,44,
1,middle,acr_surv,CT,c_index,0.5799774711348916,367,
1,middle,acr_surv,Clinical,c_index,0.7164175423018104,858,
1,middle,clad_surv,HE,c_index,0.3797814207650273,128,
1,middle,clad_surv,BAL,c_index,0.875,26,
1,middle,clad_surv,CT,c_index,0.606025191533567,268,
1,middle,clad_surv,Clinical,c_index,0.549767114172766,564,
1,middle,cls,HE,bacc,0.49063231850117095,136,0.5570843091334895
1,middle,cls,BAL,bacc,0.38095238095238093,24,0.2698412698412698
1,middle,cls,CT,bacc,0.57950872656755,108,0.5853264382676148
1,middle,cls,Clinical,bacc,0.5955822058220582,307,0.6349425994259943
1,middle,death_surv,HE,c_index,0.41492537313432837,132,
1,middle,death_surv,BAL,c_index,0.6571428571428571,27,
1,middle,death_surv,CT,c_index,0.6877631980469942,308,
1,middle,death_surv,Clinical,c_index,0.5623535676251331,603,
1,set_mil_mt,acr_surv,HE,c_index,0.4905876951331497,247,
1,set_mil_mt,acr_surv,BAL,c_index,0.1875,44,
1,set_mil_mt,acr_surv,CT,c_index,0.47282455646296817,367,
1,set_mil_mt,acr_surv,Clinical,c_index,0.5496768782990479,858,
1,set_mil_mt,clad_surv,HE,c_index,0.4098360655737705,128,
1,set_mil_mt,clad_surv,BAL,c_index,0.3125,26,
1,set_mil_mt,clad_surv,CT,c_index,0.5538241786780937,268,
1,set_mil_mt,clad_surv,Clinical,c_index,0.6258561978942424,564,
1,set_mil_mt,cls,HE,bacc,0.7131147540983607,136,0.8521662763466042
1,set_mil_mt,cls,BAL,bacc,0.5238095238095238,24,0.5079365079365079
1,set_mil_mt,cls,CT,bacc,0.645442792501616,108,0.660633484162896
1,set_mil_mt,cls,Clinical,bacc,0.5203977039770398,307,0.5396678966789668
1,set_mil_mt,death_surv,HE,c_index,0.3701492537313433,132,
1,set_mil_mt,death_surv,BAL,c_index,0.5428571428571428,27,
1,set_mil_mt,death_surv,CT,c_index,0.6313091241989625,308,
1,set_mil_mt,death_surv,Clinical,c_index,0.5982605608803692,603,
1,set_mil_mt_no_sab,acr_surv,HE,c_index,0.6662075298438935,247,
1,set_mil_mt_no_sab,acr_surv,BAL,c_index,0.375,44,
1,set_mil_mt_no_sab,acr_surv,CT,c_index,0.7022669670515348,367,
1,set_mil_mt_no_sab,acr_surv,Clinical,c_index,0.6338365152187855,858,
1,set_mil_mt_no_sab,clad_surv,HE,c_index,0.43989071038251365,128,
1,set_mil_mt_no_sab,clad_surv,BAL,c_index,0.5625,26,
1,set_mil_mt_no_sab,clad_surv,CT,c_index,0.5490845344760421,268,
1,set_mil_mt_no_sab,clad_surv,Clinical,c_index,0.6373830678304434,564,
1,set_mil_mt_no_sab,cls,HE,bacc,0.6334894613583139,136,0.8829039812646371
1,set_mil_mt_no_sab,cls,BAL,bacc,0.5,24,0.17460317460317465
1,set_mil_mt_no_sab,cls,CT,bacc,0.7117000646412411,108,0.8028442146089205
1,set_mil_mt_no_sab,cls,Clinical,bacc,0.5510967609676097,307,0.6042947929479294
1,set_mil_mt_no_sab,death_surv,HE,c_index,0.4,132,
1,set_mil_mt_no_sab,death_surv,BAL,c_index,0.2571428571428571,27,
1,set_mil_mt_no_sab,death_surv,CT,c_index,0.6889227952395484,308,
1,set_mil_mt_no_sab,death_surv,Clinical,c_index,0.6107206247781327,603,
1,set_mil_no_sab,acr_surv,HE,c_index,0.5831037649219467,247,
1,set_mil_no_sab,acr_surv,BAL,c_index,0.375,44,
1,set_mil_no_sab,acr_surv,CT,c_index,0.6473528583497606,367,
1,set_mil_no_sab,acr_surv,Clinical,c_index,0.6461447387894036,858,
1,set_mil_no_sab,clad_surv,HE,c_index,0.46789617486338797,128,
1,set_mil_no_sab,clad_surv,BAL,c_index,0.5,26,
1,set_mil_no_sab,clad_surv,CT,c_index,0.5514218932606155,268,
1,set_mil_no_sab,clad_surv,Clinical,c_index,0.643547692668989,564,
1,set_mil_no_sab,cls,HE,bacc,0.614168618266979,136,0.8501170960187354
1,set_mil_no_sab,cls,BAL,bacc,0.5,24,0.3968253968253968
1,set_mil_no_sab,cls,CT,bacc,0.6308985132514544,108,0.6732385261797027
1,set_mil_no_sab,cls,Clinical,bacc,0.5372078720787208,307,0.6124436244362442
1,set_mil_no_sab,death_surv,HE,c_index,0.39054726368159204,132,
1,set_mil_no_sab,death_surv,BAL,c_index,0.6,27,
1,set_mil_no_sab,death_surv,CT,c_index,0.7203844980164785,308,
1,set_mil_no_sab,death_surv,Clinical,c_index,0.6033368832090876,603,
2,early,acr_surv,HE,c_index,0.6764705882352942,212,
2,early,acr_surv,BAL,c_index,0.675,37,
2,early,acr_surv,CT,c_index,0.49653028769697843,526,
2,early,acr_surv,Clinical,c_index,0.680140597539543,870,
2,early,clad_surv,HE,c_index,0.437780269058296,104,
2,early,clad_surv,BAL,c_index,0.4,20,
2,early,clad_surv,CT,c_index,0.46610459154608636,367,
2,early,clad_surv,Clinical,c_index,0.6436424336614287,594,
2,early,cls,HE,bacc,0.7567654639175257,113,0.7725515463917526
2,early,cls,BAL,bacc,0.5,16,0.4363636363636364
2,early,cls,CT,bacc,0.5838001867413632,137,0.5985060690943044
2,early,cls,Clinical,bacc,0.5,262,0.6617097701149425
2,early,death_surv,HE,c_index,0.6210221793635486,108,
2,early,death_surv,BAL,c_index,0.6896551724137931,24,
2,early,death_surv,CT,c_index,0.6798993570030752,422,
2,early,death_surv,Clinical,c_index,0.5744873826088953,659,
2,late,acr_surv,HE,c_index,0.7142156862745098,212,
2,late,acr_surv,BAL,c_index,0.675,37,
2,late,acr_surv,CT,c_index,0.6461977736012722,526,
2,late,acr_surv,Clinical,c_index,0.6845905997927088,870,
2,late,clad_surv,HE,c_index,0.3845291479820628,104,
2,late,clad_surv,BAL,c_index,0.37777777777777777,20,
2,late,clad_surv,CT,c_index,0.6557479776689074,367,
2,late,clad_surv,Clinical,c_index,0.6558452771542048,594,
2,late,cls,HE,bacc,0.7464561855670103,113,0.7899484536082474
2,late,cls,BAL,bacc,0.5,16,0.4
2,late,cls,CT,bacc,0.5753968253968254,137,0.5933706816059757
2,late,cls,Clinical,bacc,0.5,262,0.6751436781609196
2,late,death_surv,HE,c_index,0.5756991321118612,108,
2,late,death_surv,BAL,c_index,0.6206896551724138,24,
2,late,death_surv,CT,c_index,0.6765329419439009,422,
2,late,death_surv,Clinical,c_index,0.5864274069481757,659,
2,longitudinal_mk_no_alibi,acr_surv,HE,bacc,0.5848873348873349,267,0.7607485107485108
2,longitudinal_mk_no_alibi,acr_surv,BAL,bacc,0.478328173374613,70,0.4396284829721362
2,longitudinal_mk_no_alibi,acr_surv,CT,bacc,0.5820654679575841,277,0.4718764407561088
2,longitudinal_mk_no_alibi,acr_surv,Clinical,bacc,0.4786255411255411,299,0.3481601731601731
2,longitudinal_mk_no_alibi,death_surv,HE,c_index,0.4625221366500556,542,
2,longitudinal_mk_no_alibi,death_surv,BAL,c_index,0.481348167539267,129,
2,longitudinal_mk_no_alibi,death_surv,CT,c_index,0.8378639479553139,746,
